Format valid,Clase gasite,Total Atribute,Lista Atribute (Viz | Denumire),Total Metode,Lista Metode (Viz | Denumire),Total Relatii,Tipuri Relatii (A/C/M),Detalii Relatii (Multiplicitati)
TRUE,"users, courses, enrollments, lessons, assignments, submissions, quizzes",34,"users -> [+] string id, users -> [+] string name, users -> [+] string email, users -> [+] string role, users -> [+] timestamp createdAt, courses -> [+] string id, courses -> [+] string title, courses -> [+] string description, courses -> [+] string instructorId, courses -> [+] timestamp createdAt, enrollments -> [+] string id, enrollments -> [+] string userId, enrollments -> [+] string courseId, enrollments -> [+] timestamp enrolledAt, enrollments -> [+] string status, lessons -> [+] string id, lessons -> [+] string courseId, lessons -> [+] string title, lessons -> [+] string content, lessons -> [+] int orderIndex, assignments -> [+] string id, assignments -> [+] string courseId, assignments -> [+] string title, assignments -> [+] string description, assignments -> [+] timestamp dueDate, submissions -> [+] string id, submissions -> [+] string assignmentId, submissions -> [+] string userId, submissions -> [+] timestamp submittedAt, submissions -> [+] float grade, quizzes -> [+] string id, quizzes -> [+] string courseId, quizzes -> [+] string title, quizzes -> [+] int timeLimit",0,,8,A:8 | C:0 | M:0,"users[1] --> courses[*], users[1] --> enrollments[*], courses[1] --> enrollments[*], courses[1] --> lessons[*], courses[1] --> assignments[*], courses[1] --> quizzes[*], assignments[1] --> submissions[*], users[1] --> submissions[*]"
TRUE,"User, Student, Teacher, Course, Material",7,"User -> [#] String name, User -> [#] String email, Student -> [-] int id_number, Teacher -> [-] String department, Course -> [-] String title, Course -> [-] String description, Material -> [-] String title_file",5,"User -> [+] login() bool, Student -> [+] enroll_course(Course crs) void, Teacher -> [+] create_course(String title) void, Course -> [+] add_material(Material mat) void, Material -> [+] download() void",5,A:2 | C:1 | M:2,"User[-] <|-- Student[-], User[-] <|-- Teacher[-], Teacher[1] --> Course[*], Student[*] --> Course[*], Course[1] *-- Material[*]"
TRUE,"users, courses, materials, quizzes, enrollments, grades",33,"users -> [+] string id, users -> [+] string email, users -> [+] string name, users -> [+] string password, users -> [+] string role, users -> [+] timestamp createdAt, courses -> [+] string id, courses -> [+] string title, courses -> [+] string description, courses -> [+] string teacherId, courses -> [+] timestamp createdAt, materials -> [+] string id, materials -> [+] string courseId, materials -> [+] string title, materials -> [+] string content, materials -> [+] string type, materials -> [+] timestamp createdAt, quizzes -> [+] string id, quizzes -> [+] string courseId, quizzes -> [+] string title, quizzes -> [+] string description, quizzes -> [+] int maxScore, quizzes -> [+] timestamp createdAt, enrollments -> [+] string id, enrollments -> [+] string studentId, enrollments -> [+] string courseId, enrollments -> [+] timestamp enrolledAt, enrollments -> [+] string status, grades -> [+] string id, grades -> [+] string studentId, grades -> [+] string quizId, grades -> [+] int score, grades -> [+] timestamp submittedAt",0,,7,A:7 | C:0 | M:0,"users[1] --> courses[*], courses[1] --> materials[*], courses[1] --> quizzes[*], users[1] --> enrollments[*], courses[1] --> enrollments[*], users[1] --> grades[*], quizzes[1] --> grades[*]"
TRUE,"User, Student, Teacher, Course, Material, Quiz, Enrollment, Grades",13,"User -> [#] String username, User -> [#] String email, Student -> [-] int student_id, Teacher -> [-] String department, Course -> [-] String title, Course -> [-] String description, Material -> [-] String file_name, Quiz -> [-] String quiz_title, Quiz -> [-] int total_questions, Enrollment -> [-] String date_enrolled, Enrollment -> [-] String status, Grades -> [-] float score, Grades -> [-] String date_taken",10,"User -> [+] create_account() bool, Student -> [+] enroll(Course crs) void, Student -> [+] take_quiz(Quiz q) void, Teacher -> [+] create_course(String title) Course, Teacher -> [+] add_material(Course crs, Material mat) void, Teacher -> [+] add_quiz(Course crs, Quiz q) void, Material -> [+] download() void, Quiz -> [+] start_quiz() void, Enrollment -> [+] get_enrollment_details() String, Grades -> [+] calculate_final_grade() float",9,A:5 | C:2 | M:2,"User[-] <|-- Student[-], User[-] <|-- Teacher[-], Teacher[1] --> Course[*], Course[1] *-- Material[*], Course[1] *-- Quiz[*], Student[1] --> Enrollment[*], Course[1] --> Enrollment[*], Student[1] --> Grades[*], Quiz[1] --> Grades[*]"
TRUE,"users, students, instructors, courses, materials, enrollments",19,"users -> [+] UUID id, users -> [+] string email, users -> [+] string userType, students -> [+] UUID id, students -> [+] UUID userId, students -> [+] float grade, instructors -> [+] UUID id, instructors -> [+] UUID userId, instructors -> [+] string department, courses -> [+] string courseId, courses -> [+] string title, courses -> [+] UUID instructorId, materials -> [+] string materialId, materials -> [+] string contentLinks, materials -> [+] string courseId, enrollments -> [+] UUID id, enrollments -> [+] UUID studentId, enrollments -> [+] string courseId, enrollments -> [+] timestamp enrolledAt",0,,6,A:6 | C:0 | M:0,"users[1] --> students[*], users[1] --> instructors[*], instructors[1] --> courses[*], courses[1] --> materials[*], students[1] --> enrollments[*], courses[1] --> enrollments[*]"
TRUE,"User (Abstract), Student, Instructor, Course, Material",8,"User -> [#] UUID id, User -> [#] String email, Student -> [-] Float gpa, Instructor -> [-] String department, Course -> [-] String courseId, Course -> [-] String title, Material -> [-] String materialId, Material -> [-] String contentURL",5,"User -> [+] login() void, User -> [+] logout() void, Student -> [+] enroll(Course crs) void, Instructor -> [+] createCourse() void, Course -> [+] addMaterial() void",5,A:2 | C:1 | M:2,"User[-] <|-- Student[-], User[-] <|-- Instructor[-], Course[1] *-- Material[*], Instructor[1] --> Course[*], Student[*] --> Course[*]"
TRUE,"patients, doctors, prescriptions, prescription_items, drugs, inventory, suppliers, pharmacists, sales",35,"patients -> [+] string id, patients -> [+] string name, patients -> [+] date dateOfBirth, doctors -> [+] string id, doctors -> [+] string name, doctors -> [+] string specialty, prescriptions -> [+] string id, prescriptions -> [+] string patientId, prescriptions -> [+] string doctorId, prescriptions -> [+] timestamp issuedAt, prescriptions -> [+] string status, prescription_items -> [+] string id, prescription_items -> [+] string prescriptionId, prescription_items -> [+] string drugId, prescription_items -> [+] string dosage, prescription_items -> [+] int quantity, drugs -> [+] string id, drugs -> [+] string name, drugs -> [+] string form, drugs -> [+] decimal price, inventory -> [+] string id, inventory -> [+] string drugId, inventory -> [+] string supplierId, inventory -> [+] int quantityOnHand, inventory -> [+] date expiryDate, suppliers -> [+] string id, suppliers -> [+] string name, pharmacists -> [+] string id, pharmacists -> [+] string name, pharmacists -> [+] string licenseNumber, sales -> [+] string id, sales -> [+] string prescriptionId, sales -> [+] string pharmacistId, sales -> [+] timestamp soldAt, sales -> [+] decimal total",0,,8,A:8 | C:0 | M:0,"patients[1] --> prescriptions[*], doctors[1] --> prescriptions[*], prescriptions[1] --> prescription_items[*], drugs[1] --> prescription_items[*], drugs[1] --> inventory[*], suppliers[1] --> inventory[*], prescriptions[1] -- sales[1], pharmacists[1] --> sales[*]"
TRUE,"Person, Pharmacist, Customer, Medication, Prescription",9,"Person -> [#] String name, Person -> [#] String phone, Pharmacist -> [-] String license_nr, Customer -> [-] int loyalty_points, Medication -> [-] String name, Medication -> [-] float price, Medication -> [-] int stock_lvl, Prescription -> [-] String dr_name, Prescription -> [-] String date",5,"Person -> [+] login() bool, Pharmacist -> [+] sell_med(Medication med) void, Customer -> [+] give_prescription(Prescription rx) void, Medication -> [+] check_stock() bool, Prescription -> [+] validate() bool",5,A:2 | C:1 | M:2,"Person[-] <|-- Pharmacist[-], Person[-] <|-- Customer[-], Pharmacist[1] --> Prescription[*], Customer[1] --> Prescription[*], Prescription[1] *-- Medication[*]"
TRUE,"pharmacists, medicines, customers, sales, sale_items, receipts",26,"pharmacists -> [+] string id, pharmacists -> [+] string name, pharmacists -> [+] string licenseNumber, medicines -> [+] string id, medicines -> [+] string name, medicines -> [+] decimal price, medicines -> [+] date expirationDate, medicines -> [+] int stockQuantity, medicines -> [+] string managedBy, customers -> [+] string id, customers -> [+] string name, customers -> [+] string phone, sales -> [+] string id, sales -> [+] string customerId, sales -> [+] string pharmacistId, sales -> [+] timestamp saleDate, sales -> [+] decimal totalAmount, sale_items -> [+] string id, sale_items -> [+] string saleId, sale_items -> [+] string medicineId, sale_items -> [+] int quantity, sale_items -> [+] decimal lineTotal, receipts -> [+] string id, receipts -> [+] string saleId, receipts -> [+] timestamp issuedAt, receipts -> [+] string paymentMethod",0,,6,A:6 | C:0 | M:0,"pharmacists[1] --> medicines[*], customers[1] --> sales[*], pharmacists[1] --> sales[*], sales[1] --> sale_items[*], medicines[1] --> sale_items[*], sales[1] -- receipts[1]"
TRUE,"Person, Pharmacist, Customer, Medicine, Receipt",11,"Person -> [#] String name, Person -> [#] String phone, Pharmacist -> [-] String employee_id, Customer -> [-] int loyalty_points, Medicine -> [-] String name, Medicine -> [-] float price, Medicine -> [-] Date expire_date, Medicine -> [-] int stock_quant, Receipt -> [-] String receipt_id, Receipt -> [-] Date transaction_date, Receipt -> [-] float total",5,"Pharmacist -> [+] manage_inventory(Medicine med) void, Customer -> [+] buy_med(Medicine med) void, Medicine -> [+] update_stock(int amount) void, Receipt -> [+] generate_receipt() void, Receipt -> [+] calculate_total() float",5,A:2 | C:1 | M:2,"Person[-] <|-- Pharmacist[-], Person[-] <|-- Customer[-], Pharmacist[1] --> Medicine[*], Customer[1] --> Receipt[*], Receipt[1] *-- Medicine[*]"
